label_id,paxinos_name,proposed_acronym,proposed_name,acronym_basis,basis_detail,confidence,review_status,current_structure_acronym,current_structure_name,resource_action,r,g,b,duplicate_resolution,basis,notes
1,10th cerebellar lobule (nodule),10Cb,10th cerebellar lobule (nodule),deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,1CLN_1,10th cerebellar lobule (nodule),kept_for_review_or_manual_approval,142,223,165,unique_imported,,
2,dorsal motor nucleus of vagus,10N,dorsal motor nucleus of vagus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,DMNOV_2,dorsal motor nucleus of vagus,kept_for_review_or_manual_approval,102,176,199,unique_imported,,
3,vagus nerve,10n,vagus nerve,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,VN_3,vagus nerve,kept_for_review_or_manual_approval,227,89,233,unique_imported,,
4,accessory nerve nucleus,11N,accessory nerve nucleus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ANN_4,accessory nerve nucleus,kept_for_review_or_manual_approval,133,223,176,unique_imported,,
5,"hypoglossal nucleus, geniohyoid part",12NGh,"hypoglossal nucleus, geniohyoid part",deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,HNGP_5,"hypoglossal nucleus, geniohyoid part",kept_for_review_or_manual_approval,0,255,123,unique_imported,,
6,hypoglossal nucleus,12N,hypoglossal nucleus,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,HN_6,hypoglossal nucleus,kept_for_review_or_manual_approval,0,194,255,unique_imported,,
7,root of hypoglossal nerve,12n,root of hypoglossal nerve,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,ROHN_7,root of hypoglossal nerve,kept_for_review_or_manual_approval,206,0,212,unique_imported,,
8,1st cerebellar lobule (lingula),1Cb,1st cerebellar lobule (lingula),deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,1CLL_8,1st cerebellar lobule (lingula),kept_for_review_or_manual_approval,0,255,56,unique_imported,,
9,2nd and 3rd cerebellar lobules,2&3Cb,2nd and 3rd cerebellar lobules,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,2A3CL_9,2nd and 3rd cerebellar lobules,kept_for_review_or_manual_approval,35,255,98,unique_imported,,
10,2nd cerebellar lobule,2Cb,2nd cerebellar lobule,deepseek_paxinos_full_list,Imported from ordered DeepSeek/Paxinos acronym list using V33.8 graph_order/label_id order. Non-dash and non-duplicate proposal.,deepseek_paxinos_candidate,approved,2CL_10,2nd cerebellar lobule,kept_for_review_or_manual_approval,59,233,91,unique_imported,,
