label_id,paxinos_name,proposed_acronym,proposed_name,acronym_basis,basis_detail,confidence,review_status,current_structure_acronym,current_structure_name,resource_action,r,g,b,duplicate_resolution
1,10th cerebellar lobule (nodule),CbL10,10th cerebellar lobule (nodule),rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,1CLN_1,10th cerebellar lobule (nodule),kept_for_review_or_manual_approval,142,223,165,
2,dorsal motor nucleus of vagus,DMX,dorsal motor nucleus of vagus,manual_common_neuroanatomy,standard abbreviation,high,pending_review,DMNOV_2,dorsal motor nucleus of vagus,kept_for_review_or_manual_approval,102,176,199,
3,vagus nerve,X,vagus nerve,manual_common_neuroanatomy,cranial nerve X,high,pending_review,VN_3,vagus nerve,kept_for_review_or_manual_approval,227,89,233,
4,accessory nerve nucleus,Acs,accessory nerve nucleus,manual_common_neuroanatomy,standard-derived abbreviation,high,pending_review,ANN_4,accessory nerve nucleus,kept_for_review_or_manual_approval,133,223,176,
5,"hypoglossal nucleus, geniohyoid part",XIIg,"hypoglossal nucleus, geniohyoid part",manual_common_neuroanatomy,hypoglossal geniohyoid part,high,pending_review,HNGP_5,"hypoglossal nucleus, geniohyoid part",kept_for_review_or_manual_approval,0,255,123,
6,hypoglossal nucleus,XII,hypoglossal nucleus,manual_common_neuroanatomy,cranial nerve XII nucleus,high,pending_review,HN_6,hypoglossal nucleus,kept_for_review_or_manual_approval,0,194,255,
7,root of hypoglossal nerve,RtXII,root of hypoglossal nerve,manual_common_neuroanatomy,root of cranial nerve XII,high,pending_review,ROHN_7,root of hypoglossal nerve,kept_for_review_or_manual_approval,206,0,212,
8,1st cerebellar lobule (lingula),CbL1,1st cerebellar lobule (lingula),rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,1CLL_8,1st cerebellar lobule (lingula),kept_for_review_or_manual_approval,0,255,56,
9,2nd and 3rd cerebellar lobules,CbL2_3,2nd and 3rd cerebellar lobules,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,2A3CL_9,2nd and 3rd cerebellar lobules,kept_for_review_or_manual_approval,35,255,98,
10,2nd cerebellar lobule,CbL2,2nd cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,2CL_10,2nd cerebellar lobule,kept_for_review_or_manual_approval,59,233,91,
11,2b cerebellar lobule,2BCbLob,2b cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,2CL_11,2b cerebellar lobule,kept_for_review_or_manual_approval,0,255,46,
13,3rd and 4th cerebellar lobules,CbL3_4,3rd and 4th cerebellar lobules,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,3A4CL_13,3rd and 4th cerebellar lobules,kept_for_review_or_manual_approval,107,255,149,
14,3rd cerebellar lobule,CbL3,3rd cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,3CL_14,3rd cerebellar lobule,kept_for_review_or_manual_approval,0,255,73,
15,oculomotor nucleus,III,oculomotor nucleus,manual_common_neuroanatomy,cranial nerve III nucleus,high,pending_review,ON_15,oculomotor nucleus,kept_for_review_or_manual_approval,118,161,233,
16,"oculomotor nucleus, parvicellular part",IIIpc,"oculomotor nucleus, parvicellular part",manual_common_neuroanatomy,oculomotor parvicellular part,high,pending_review,ONPP_16,"oculomotor nucleus, parvicellular part",kept_for_review_or_manual_approval,0,94,255,
17,3rd ventricle,3V,3rd ventricle,manual_common_neuroanatomy,standard abbreviation,high,pending_review,3V_17,3rd ventricle,kept_for_review_or_manual_approval,255,178,220,
18,oculomotor nerve,3n,oculomotor nerve,manual_common_neuroanatomy,cranial nerve III,high,pending_review,ON_18,oculomotor nerve,kept_for_review_or_manual_approval,253,178,255,
19,4th and 5th cerebellar lobules,CbL4_5,4th and 5th cerebellar lobules,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,4A5CL_19,4th and 5th cerebellar lobules,kept_for_review_or_manual_approval,142,212,162,
21,4th cerebellar lobule,CbL4,4th cerebellar lobule,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,4CL_21,4th cerebellar lobule,kept_for_review_or_manual_approval,71,223,115,
22,trochlear nucleus,IV,trochlear nucleus,manual_common_neuroanatomy,cranial nerve IV nucleus,high,pending_review,TN_22,trochlear nucleus,kept_for_review_or_manual_approval,0,66,212,
23,trochlear nucleus shell region,4She,trochlear nucleus shell region,rule_generated_from_paxinos_name,Algorithmic acronym generated from Paxinos raw name; requires manual review before use as curated label.,low,pending_review,TNSR_23,trochlear nucleus shell region,kept_for_review_or_manual_approval,0,80,255,
24,4th ventricle,4V,4th ventricle,manual_common_neuroanatomy,standard abbreviation,high,pending_review,4V_24,4th ventricle,kept_for_review_or_manual_approval,255,89,164,
25,trochlear nerve,4n,trochlear nerve,manual_common_neuroanatomy,cranial nerve IV,high,pending_review,TN_25,trochlear nerve,kept_for_review_or_manual_approval,255,0,254,
