label_id,paxinos_name,proposed_acronym,proposed_name,acronym_basis,basis_detail,confidence,review_status,current_structure_acronym,current_structure_name,resource_action,r,g,b,duplicate_resolution
2,dorsal motor nucleus of vagus,DMX,dorsal motor nucleus of vagus,manual_common_neuroanatomy,standard abbreviation,high,pending_review,DMNOV_2,dorsal motor nucleus of vagus,kept_for_review_or_manual_approval,102,176,199,
3,vagus nerve,X,vagus nerve,manual_common_neuroanatomy,cranial nerve X,high,pending_review,VN_3,vagus nerve,kept_for_review_or_manual_approval,227,89,233,
4,accessory nerve nucleus,Acs,accessory nerve nucleus,manual_common_neuroanatomy,standard-derived abbreviation,high,pending_review,ANN_4,accessory nerve nucleus,kept_for_review_or_manual_approval,133,223,176,
5,"hypoglossal nucleus, geniohyoid part",XIIg,"hypoglossal nucleus, geniohyoid part",manual_common_neuroanatomy,hypoglossal geniohyoid part,high,pending_review,HNGP_5,"hypoglossal nucleus, geniohyoid part",kept_for_review_or_manual_approval,0,255,123,
6,hypoglossal nucleus,XII,hypoglossal nucleus,manual_common_neuroanatomy,cranial nerve XII nucleus,high,pending_review,HN_6,hypoglossal nucleus,kept_for_review_or_manual_approval,0,194,255,
7,root of hypoglossal nerve,RtXII,root of hypoglossal nerve,manual_common_neuroanatomy,root of cranial nerve XII,high,pending_review,ROHN_7,root of hypoglossal nerve,kept_for_review_or_manual_approval,206,0,212,
15,oculomotor nucleus,III,oculomotor nucleus,manual_common_neuroanatomy,cranial nerve III nucleus,high,pending_review,ON_15,oculomotor nucleus,kept_for_review_or_manual_approval,118,161,233,
16,"oculomotor nucleus, parvicellular part",IIIpc,"oculomotor nucleus, parvicellular part",manual_common_neuroanatomy,oculomotor parvicellular part,high,pending_review,ONPP_16,"oculomotor nucleus, parvicellular part",kept_for_review_or_manual_approval,0,94,255,
17,3rd ventricle,3V,3rd ventricle,manual_common_neuroanatomy,standard abbreviation,high,pending_review,3V_17,3rd ventricle,kept_for_review_or_manual_approval,255,178,220,
18,oculomotor nerve,3n,oculomotor nerve,manual_common_neuroanatomy,cranial nerve III,high,pending_review,ON_18,oculomotor nerve,kept_for_review_or_manual_approval,253,178,255,
22,trochlear nucleus,IV,trochlear nucleus,manual_common_neuroanatomy,cranial nerve IV nucleus,high,pending_review,TN_22,trochlear nucleus,kept_for_review_or_manual_approval,0,66,212,
24,4th ventricle,4V,4th ventricle,manual_common_neuroanatomy,standard abbreviation,high,pending_review,4V_24,4th ventricle,kept_for_review_or_manual_approval,255,89,164,
25,trochlear nerve,4n,trochlear nerve,manual_common_neuroanatomy,cranial nerve IV,high,pending_review,TN_25,trochlear nerve,kept_for_review_or_manual_approval,255,0,254,
31,motor trigeminal nucleus,Mo5,motor trigeminal nucleus,manual_common_neuroanatomy,common abbreviation,high,pending_review,MTN_31,motor trigeminal nucleus,kept_for_review_or_manual_approval,178,244,255,
38,abducens nucleus,VI,abducens nucleus,manual_common_neuroanatomy,cranial nerve VI nucleus,high,pending_review,AN_38,abducens nucleus,kept_for_review_or_manual_approval,89,228,255,
51,facial nucleus,VII,facial nucleus,manual_common_neuroanatomy,cranial nerve VII nucleus,high,pending_review,FN_51,facial nucleus,kept_for_review_or_manual_approval,0,193,233,
55,facial nerve,7n,facial nerve,manual_common_neuroanatomy,cranial nerve VII,high,pending_review,FN_55,facial nerve,kept_for_review_or_manual_approval,201,0,255,
60,vestibulocochlear nerve,8n,vestibulocochlear nerve,manual_common_neuroanatomy,cranial nerve VIII,high,pending_review,VN_60,vestibulocochlear nerve,kept_for_review_or_manual_approval,246,178,255,
76,anterior amygdaloid area,AA,anterior amygdaloid area,manual_common_neuroanatomy,standard abbreviation for anterior amygdaloid area,high,pending_review,AAA_76,anterior amygdaloid area,kept_for_review_or_manual_approval,255,81,0,
79,anterior cortical amygdaloid nucleus,ACo,anterior cortical amygdaloid nucleus,manual_common_neuroanatomy,standard abbreviation for anterior cortical amygdaloid nucleus,high,pending_review,ACAN_79,anterior cortical amygdaloid nucleus,kept_for_review_or_manual_approval,248,255,178,
80,anterodorsal thalamic nucleus,AD,anterodorsal thalamic nucleus,manual_common_neuroanatomy,standard thalamic abbreviation,high,pending_review,ATN_80,anterodorsal thalamic nucleus,kept_for_review_or_manual_approval,233,199,107,
82,anterior hypothalamic area,AHA,anterior hypothalamic area,manual_common_neuroanatomy,standard abbreviation,high,pending_review,AHA_82,anterior hypothalamic area,kept_for_review_or_manual_approval,255,103,0,
83,"anterior hypothalamic area, anterior part",AHAa,"anterior hypothalamic area, anterior part",manual_common_neuroanatomy,AHA anterior,high,pending_review,AHAAP_83,"anterior hypothalamic area, anterior part",kept_for_review_or_manual_approval,223,89,0,
84,"anterior hypothalamic area, central part",AHAc,"anterior hypothalamic area, central part",manual_common_neuroanatomy,AHA central,high,pending_review,AHACP_84,"anterior hypothalamic area, central part",kept_for_review_or_manual_approval,255,103,0,
85,"anterior hypothalamic area, posterior part",AHAp,"anterior hypothalamic area, posterior part",manual_common_neuroanatomy,AHA posterior,high,pending_review,AHAPP_85,"anterior hypothalamic area, posterior part",kept_for_review_or_manual_approval,255,156,89,
86,amygdalohippocampal area,AHi,amygdalohippocampal area,manual_common_neuroanatomy,standard abbreviation for amygdalohippocampal area,high,pending_review,AA_86,amygdalohippocampal area,kept_for_review_or_manual_approval,233,46,0,
87,"amygdalohippocampal area, anterolateral part",AHiAL,"amygdalohippocampal area, anterolateral part",manual_common_neuroanatomy,standard derived abbreviation: AHi + anterolateral,high,pending_review,AAAP_87,"amygdalohippocampal area, anterolateral part",kept_for_review_or_manual_approval,255,49,0,
89,"amygdalohippocampal area, posterolateral",AHiPL,"amygdalohippocampal area, posterolateral",manual_common_neuroanatomy,standard derived abbreviation: AHi + posterolateral,high,pending_review,AAP_89,"amygdalohippocampal area, posterolateral",kept_for_review_or_manual_approval,255,194,178,
90,"agranular insular cortex, dorsal part",AID,"agranular insular cortex, dorsal part",paxinos_cortex_file_exact_id,Exact ID match in Paxinos_Watson_Labels_Cortex.txt: AID,official_local,pending_review,AID,"agranular insular cortex, dorsal part",kept_for_review_or_manual_approval,208,212,71,
91,"agranular insular cortex, posterior part",AIP,"agranular insular cortex, posterior part",paxinos_cortex_file_exact_id,Exact ID match in Paxinos_Watson_Labels_Cortex.txt: AIP,official_local,pending_review,AIP,"agranular insular cortex, posterior part",kept_for_review_or_manual_approval,216,223,0,
